Plot,Wet Weight,g/m^2,Dry Weight,wet-dry,,WetDate = 9/5,DryDate=9/13,biomass bag weight = 11.33
HBN1,27.41,109.64,27.37,0.04,,,,
HBN2,43.37,173.48,42.7,0.67,,,,
HBN3,59.52,238.08,59.43,0.09,,,,
HBN4,35.29,141.16,35.91,-0.62,,,,
HBN5,69.42,277.68,65.54,3.88,,,,
HBN6,34.78,139.12,30.51,4.27,,,,
HBN7,63.86,255.44,64.21,-0.35,,,,
HBN8,55.68,222.72,57.79,-2.11,,,,
HBNN1,41.97,167.88,43.02,-1.05,,,,
HBNN2,31.82,127.28,30.78,1.04,,,,
HBNN3,34.62,138.48,34.86,-0.24,,,,
HBNN4,40.04,160.16,41.93,-1.89,,,,
HBNN5,27.54,110.16,29.14,-1.6,,,,
HBNN6,34.64,138.56,36.78,-2.14,,,,
HBNN7,21.7,86.8,22.98,-1.28,,,,
HBNN8,16.47,65.88,17.12,-0.65,,,,
LBN1,23.7,94.8,21.17,2.53,,,,
LBN2,79.44,317.76,78.9,0.54,,,,
LBN3,52.36,209.44,52.92,-0.56,,,,
LBN4,30.51,122.04,31.13,-0.62,,,,
LBN5,31.68,126.72,29.69,1.99,,,,
LBN6,11.14,44.56,11.77,-0.63,,,,
LBN7,24.11,96.44,25.22,-1.11,,,,
LBN8,20.02,80.08,20.72,-0.7,,,,
LBNN1,56.78,227.12,58.13,-1.35,,,,
LBNN2,25.93,103.72,26.88,-0.95,,,,
LBNN3,41.56,166.24,42.57,-1.01,,,,
LBNN4,59.78,239.12,61.92,-2.14,,,,
LBNN5,17.06,68.24,17.89,-0.83,,,,
LBNN6,25.3,101.2,27,-1.7,,,,
LBNN7,30.36,121.44,31.54,-1.18,,,,
LBNN8,20.5,82,21.55,-1.05,,,,
