Plot Name,Plot Type,Dominant Cover,Bulb Treatment,species/cover,%cover,Date ,Year
C1,Control,Native,NA,Stipa pulchra,90,8/15,2023 (Before Fire)
C1,Control,Native,NA,Bareground,5,,2023 (Before Fire)
C1,Control,Native,NA,Bromus hordeaceus,3,,2023 (Before Fire)
C1,Control,Native,NA,Brachypodium distachyon,2,,2023 (Before Fire)
C1,Control,Native,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
C10,Control,Native,NA,Stipa pulchra,70,,2023 (Before Fire)
C10,Control,Native,NA,Bromus hordeaceus,1,,2023 (Before Fire)
C10,Control,Native,NA,Festuca perennis,20,,2023 (Before Fire)
C10,Control,Native,NA,Avena fatua,1,,2023 (Before Fire)
C10,Control,Native,NA,Plantago coronopus,1,,2023 (Before Fire)
C10,Control,Native,NA,Medicago polymorpha,5,,2023 (Before Fire)
C10,Control,Native,NA,Helminthotheca echioides,1,,2023 (Before Fire)
C10,Control,Native,NA,Pseudognaphalium luteoalbum,1,,2023 (Before Fire)
C10,Control,Native,NA,Brachypodium distachyon,1,,2023 (Before Fire)
C10,Control,Native,NA,Bareground,5,,2023 (Before Fire)
C2,Control,Nonnative,NA,Erigeron canadensis,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Deinandra fasciculata,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Plantago coronopus,2,,2023 (Before Fire)
C2,Control,Nonnative,NA,Lysimachia arvensis,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Melilotus indicus,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Trifolium sp. ,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Brachypodium distachyon,50,,2023 (Before Fire)
C2,Control,Nonnative,NA,Sonchus sp.,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Bromus hordeaceus,45,,2023 (Before Fire)
C2,Control,Nonnative,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Festuca perennis,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Festuca myuros,5,,2023 (Before Fire)
C2,Control,Nonnative,NA,Avena fatua,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Medicago polymorpha,1,,2023 (Before Fire)
C2,Control,Nonnative,NA,Bareground,1,,2023 (Before Fire)
C3,Control,Native,NA,Stipa pulchra,95,,2023 (Before Fire)
C3,Control,Native,NA,Bareground,1,,2023 (Before Fire)
C3,Control,Native,NA,Medicago polymorpha,1,,2023 (Before Fire)
C3,Control,Native,NA,Avena fatua,1,,2023 (Before Fire)
C3,Control,Native,NA,Brachypodium distachyon,2,,2023 (Before Fire)
C3,Control,Native,NA,Bromus hordeaceus,2,,2023 (Before Fire)
C3,Control,Native,NA,Festuca perennis,1,,2023 (Before Fire)
C3,Control,Native,NA,Vicia sp. ,1,,2023 (Before Fire)
C4,Control,Nonnative,NA,Festuca perennis,99,,2023 (Before Fire)
C4,Control,Nonnative,NA,Stipa pulchra,1,,2023 (Before Fire)
C4,Control,Nonnative,NA,Hordeum marinum,1,,2023 (Before Fire)
C4,Control,Nonnative,NA,Melilotus indicus,1,,2023 (Before Fire)
C4,Control,Nonnative,NA,Bromus hordeaceus,1,,2023 (Before Fire)
C4,Control,Nonnative,NA,Medicago polymorpha,1,,2023 (Before Fire)
C5,Control,Nonnative,NA,Hordeum marinum,20,,2023 (Before Fire)
C5,Control,Nonnative,NA,Festuca perennis,60,,2023 (Before Fire)
C5,Control,Nonnative,NA,Bromus hordeaceus,20,,2023 (Before Fire)
C6,Control,Nonnative,NA,Stipa pulchra,35,,2023 (Before Fire)
C6,Control,Nonnative,NA,Deinandra fasciculata,1,,2023 (Before Fire)
C6,Control,Nonnative,NA,Festuca perennis,60,,2023 (Before Fire)
C6,Control,Nonnative,NA,Bromus hordeaceus,5,,2023 (Before Fire)
C6,Control,Nonnative,NA,Melilotus indicus,1,,2023 (Before Fire)
C7,Control,Native,NA,Centromadia parryi ssp. australis,2,,2023 (Before Fire)
C7,Control,Native,NA,Stipa pulchra,55,,2023 (Before Fire)
C7,Control,Native,NA,Festuca perennis,35,,2023 (Before Fire)
C7,Control,Native,NA,Plantago lanceolata,1,,2023 (Before Fire)
C7,Control,Native,NA,Bromus hordeaceus,2,,2023 (Before Fire)
C7,Control,Native,NA,Brachypodium distachyon,1,,2023 (Before Fire)
C7,Control,Native,NA,Melilotus indicus,1,,2023 (Before Fire)
C7,Control,Native,NA,Bareground,5,,2023 (Before Fire)
C8,Control,Nonnative,NA,Festuca perennis,99,,2023 (Before Fire)
C8,Control,Nonnative,NA,Stipa pulchra,1,,2023 (Before Fire)
C8,Control,Nonnative,NA,Melilotus indicus,1,,2023 (Before Fire)
C8,Control,Nonnative,NA,Bromus hordeaceus,1,,2023 (Before Fire)
C9,Control,Native,NA,Stipa pulchra,75,,2023 (Before Fire)
C9,Control,Native,NA,Bareground,2,,2023 (Before Fire)
C9,Control,Native,NA,Brachypodium distachyon,23,,2023 (Before Fire)
C9,Control,Native,NA,Helminthotheca echioides,1,,2023 (Before Fire)
C9,Control,Native,NA,Avena fatua,1,,2023 (Before Fire)
C9,Control,Native,NA,Medicago polymorpha,1,,2023 (Before Fire)
C9,Control,Native,NA,Bromus hordeaceus,1,,2023 (Before Fire)
C9,Control,Native,NA,Epilobium brachycarpum,1,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Bromus hordeaceus,74,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Stipa pulchra,15,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Medicago polymorpha,6,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Sonchus sp.,1,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Melilotus indicus,3,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Festuca perennis,2,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Hordeum marinum,1,,2023 (Before Fire)
CLAY1,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
CLAY10,Seeding,NA,NA,Bromus hordeaceus,5,,2023 (Before Fire)
CLAY10,Seeding,NA,NA,Festuca perennis,96,,2023 (Before Fire)
CLAY10,Seeding,NA,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
CLAY10,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
CLAY11,Seeding,NA,NA,Melilotus indicus,25,,2023 (Before Fire)
