Plot Name,species/cover,%cover,Date ,Monitors,Year
C1,Brachypodium distachyon,40,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Stipa pulchra,60,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Medicago polymorpha,4,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Vicia sativa,4,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Avena fatua,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Bromus diandrus,3,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Bromus hordeaceus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Geranium dissectum,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Festuca perennis,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C1,Festuca myuros,5,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Deinandra fasciculata,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Festuca perennis,16,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Stipa pulchra,35,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Medicago polymorpha,22,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Sonchus sp.,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Brachypodium distachyon,16,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Plantago lanceolata,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Bromus hordeaceus,15,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Thatch,3,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Madia sativa,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C2,Medicago lupulina,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C3,Medicago polymorpha,20,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C3,Stipa pulchra,60,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C3,Festuca perennis,10,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C3,Vicia sativa,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
