Zone,Total Plant Count (2025 extract),Acreage,Sq Ft,Zone Density,Zone Density Rounded
A1,142,0.36,15681.6,0.009055198,0.009
A2,119,0.2,8712,0.01365932,0.014
A3,43,0.16,6969.6,0.006169651,0.006
B1,169,0.2,8712,0.019398531,0.019
B2,0,0.29,12632.4,0,0
B4,9,0.21,9147.6,0.000983865,0.001
C1,444,0.31,13503.6,0.032880121,0.033
C2,0,0.29,12632.4,0,0
C3,237,0.17,7405.2,0.032004537,0.032
C4,349,0.49,21344.4,0.016350893,0.016
C5,0,0.99,43124.4,0,0
D1,0,0.36,15681.6,0,0
D2,31,0.11,4791.6,0.006469655,0.006
D3,143,0.22,9583.2,0.014921947,0.015
E1,554,0.51,22215.6,0.024937431,0.025
E2,14,0.12,5227.2,0.002678298,0.003
F1,154,0.35,15246,0.01010101,0.01
F2,69,0.15,6534,0.010560147,0.011
F3,341,0.59,25700.4,0.013268276,0.013
F4,0,1.37,59677.2,0,0
G,738,2.44,106286.4,0.006943504,0.007
H1,20,0.32,13939.2,0.001434803,0.001
H2,75,0.83,36154.8,0.002074413,0.002
H3,12,0.04,1742.4,0.006887052,0.007
I1,86,0.12,5227.2,0.016452403,0.016
I2,25,0.17,7405.2,0.003376006,0.003
