latitude,longitude,transect,transect_position_m,sample_date,measurement_date,depth_top,depth_bottom,depth,texture,texture_code,tin_name,wet_weight_g,dry_weight_g,tin_weight_g,wet_tin_diff_g,dry_tin_diff,percent_soil_moisture,EC_uS_cm,Notes
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,0,15,0-15,sandy clay,sc,GL-11 0-15,37.62,36.316,6.396,31.224,29.92,4.36,235,
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,15,30,15-30,sandy clay,sc,GL-11 15-30,52.296,49.812,6.503,45.793,43.309,5.74,258,or sandy clay. Lets stick with clay
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,30,45,30-45,clay,c,GL-11 30-45,45.845,43.028,6.449,39.396,36.579,7.70,353,neither gritty or smooth. felt pretty smooth. Maybe silty clay. Lets stick with clay
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,45,60,45-60,clay,c,GL-11 45-60,50.052,45.5,6.467,43.585,39.033,11.66,958,maybe silty clay. its greyish color looks like silt
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,60,75,60-75,sandy clay,sc,GL-11 60-75,43.933,41.32,6.383,37.55,34.937,7.48,659,
34.41785,119.87835,GL-11,10,2026-06-26,2026-06-29,75,90,75-90,sandy clay loam,scl,GL-11 75-90,45.034,42.534,6.424,38.61,36.11,6.92,552,
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,0,15,0-15,loamy sand,ls,15-0-15,58.035,57.697,6.381,51.654,51.316,0.66,344,for GL 15 we tarred the tin before doing wet weights. Thus in order to get wet_weight_g column = tin_weight_g + wet_tin_diff_g
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,15,30,15-30,sandy clay,sc,15-15-30,64.317,58.664,6.405,57.912,52.259,10.82,1022,
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,30,45,30-45,sandy clay,sc,15-30-45,53.835,49.036,6.383,47.452,42.653,11.25,1666,
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,45,60,45-60,loamy sand,ls,15-45-60,55.227,51.186,6.458,48.769,44.728,9.03,846,most unsure of this one
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,60,75,60-75,clay loam,cl,15-60-75,52.898,47.032,6.427,46.471,40.605,14.45,991,
34.41898,119.87944,GL-15,10,2026-07-16,2026-07-20,75,90,75-90,clay,c,15-75-90,54.6,46.833,6.452,48.148,40.381,19.23,1852,clay. Majority clay with sand in it. 
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,0,15,0-15,sandy clay loam,scl,9-0-15,53.472,52.193,6.479,46.993,45.714,2.80,237,
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,15,30,15-30,sandy clay,sc,9-15-30,54.958,51.355,6.329,48.629,45.026,8.00,564,
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,30,45,30-45,clay,c,9-30-45,54.483,50.499,6.409,48.074,44.09,9.04,989,
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,45,60,45-60,clay,c,9-45-60,53.297,46.832,6.412,46.885,40.42,15.99,1423,
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,60,75,60-75,clay,c,9-60-75,53.341,47.192,6.413,46.928,40.779,15.08,1897,
34.41889,119.87818,GL-09,10,2026-07-16,2026-07-23,75,90,75-90,clay,c,9-75-90,57.831,51.185,6.426,51.405,44.759,14.85,1846,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,0,15,0-15,,,7-0-15,58.799,56.486,6.483,52.316,50.003,4.63,219,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,15,30,15-30,,,7-15-30,57.205,53.359,6.331,50.874,47.028,8.18,439,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,30,45,30-45,,,7-30-45,56.911,51.69,6.41,50.501,45.28,11.53,938,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,45,60,45-60,,,7-45-60,58.367,52.82,6.413,51.954,46.407,11.95,1745,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,60,75,60-75,,,7-60-75,57.814,53.299,6.415,51.399,46.884,9.63,1541,
34.41835,119.87831,GL-07,10,2026-08-04,2026-08-06,75,90,75-90,,,7-75-90,59.141,51.855,6.428,52.713,45.427,16.04,2440,2360 with 12880 calibration
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,0,15,0-15,sandy clay,sc,10-0-15,57.051,53.612,6.38,50.671,47.232,7.28,206,1413 calibration for 10-0-15 to 10-75-90
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,15,30,15-30,sandy clay,sc,10-15-30,56.804,53.094,6.407,50.397,46.687,7.95,182.5,
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,30,45,30-45,,,10-30-45,57.403,53.482,6.383,51.02,47.099,8.33,163.1,
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,45,60,45-60,,,10-45-60,56.628,52.518,6.46,50.168,46.058,8.92,289,
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,60,75,60-75,,,10-60-75,58.433,54.073,6.427,52.006,47.646,9.15,514,
34.41841,119.87768,GL-10,10,2026-08-04,2026-08-05,75,90,75-90,,,10-75-90,57.546,53.335,6.452,51.094,46.883,8.98,1478,
