lat,long,zone,transect,sample_date,measurement_date,depth_top,depth_bottom,depth,texture,texture_code,tin_name,wet_weight_g,dry_weight_g,tin_weight_g,wet_tin_diff_g,dry_fin_diff,percent_soil_moisture,EC_uS_cm,notes
34.420447,-119.881654,C4,CSS-04,2026-04-20,2026-04-22,0,15,0-15,clay,C,CSS-04 0-15,43.6,40.8,6.468,37.132,34.332,7.54%,247,
34.420447,-119.881654,C4,CSS-04,2026-04-20,2026-04-22,15,30,15-30,clay,C,CSS-04 15-30,43.86,40.756,6.527,37.333,34.229,8.31%,276,
34.420447,-119.881654,C4,CSS-04,2026-04-20,2026-04-22,30,45,30-45,sandy clay,SC,CSS-04 30-45,45.63,42.182,6.439,39.191,35.743,8.80%,512,
34.420447,-119.881654,C4,CSS-04,2026-04-20,2026-04-22,45,60,45-60,sandy clay,SC,CSS-04 45-60,43.715,38.129,6.405,37.31,31.724,14.97%,1104,
34.420447,-119.881654,C4,CSS-04,2026-04-20,2026-04-22,60,75,60-75,sandy clay,SC,CSS-04 60-75,44.886,41.708,6.49,38.396,35.218,8.28%,1142,
34.420293,-119.880951,A3,Zone A 3,2026-04-20,2026-04-22,0,15,0-15,sandy clay,SC,Zone A 3 0-15,44.384,41.844,6.417,37.967,35.427,6.69%,224,
34.420293,-119.880951,A3,Zone A 3,2026-04-20,2026-04-22,15,30,15-30,sandy clay,SC,Zone A 3 15-30,41.944,39.075,6.461,35.483,32.614,8.09%,222,
34.420293,-119.880951,A3,Zone A 3,2026-04-20,2026-04-22,30,45,30-45,clay,C,Zone A 3 30-45,46.62,43.332,6.479,40.141,36.853,8.19%,257,
34.420293,-119.880951,A3,Zone A 3,2026-04-20,2026-04-22,45,60,45-60,clay,C,Zone A 3 45-60,45.627,42.554,6.474,39.153,36.08,7.85%,444,
34.420293,-119.880951,A3,Zone A 3,2026-04-20,2026-04-22,60,75,60-75,silty clay,SIC,Zone A 3 60-75,44.311,40.288,6.519,37.792,33.769,10.65%,588,
34.420132,-119.880153,E1,CSS-03,2026-04-15,2026-04-18,0,15,0-15,clay,C,CSS-03 0-15,44.34,38.04,6.427,37.913,31.613,16.62%,320,
34.420132,-119.880153,E1,CSS-03,2026-04-15,2026-04-18,15,30,15-30,sandy clay loam,SCL,CSS-03 15-30,42.55,38.11,6.462,36.088,31.648,12.30%,308,
34.420132,-119.880153,E1,CSS-03,2026-04-15,2026-04-18,30,45,30-45,sandy clay,SC,CSS-03 30-45,48.984,43.38,6.432,42.552,36.948,13.17%,320,
34.420132,-119.880153,E1,CSS-03,2026-04-15,2026-04-18,45,60,45-60,clay,C,CSS-03 45-60,43.431,37.08,6.443,36.988,30.637,17.17%,378,
34.420132,-119.880153,E1,CSS-03,2026-04-15,2026-04-18,60,75,60-75,clay,C,CSS-03 60-75,42.488,35.97,6.333,36.155,29.637,18.03%,301,
34.419835,-119.878999,G,CSS-06,2026-04-07,2026-04-09,0,15,0-15,loamy sand,LS,CSS-06 0-15,44.379,41.744,6.435,37.944,35.309,6.94%,324,
34.419835,-119.878999,G,CSS-06,2026-04-07,2026-04-09,15,30,15-30,sandy clay,SC,CSS-06 15-30,47.359,42.327,6.392,40.967,35.935,12.28%,521,
34.419835,-119.878999,G,CSS-06,2026-04-07,2026-04-09,30,45,30-45,sandy loam,SL,CSS-06 30-45,47.91,42.887,6.431,41.479,36.456,12.11%,430,
34.419835,-119.878999,G,CSS-06,2026-04-07,2026-04-09,45,60,45-60,silty clay,SIC,CSS-06 45-60,43.994,37.216,6.427,37.567,30.789,18.04%,1148,
34.419835,-119.878999,G,CSS-06,2026-04-07,2026-04-09,60,75,60-75,silty clay,SIC,CSS-06 60-75,43.776,34.665,6.384,37.392,28.281,24.37%,1736,
34.420083,-119.878031,"G, F1, A1",CSS-01,2026-04-03,2026-04-05,0,15,0-15,sandy clay,SC,CSS-01 0-15,45.893,40.964,6.434,39.459,34.53,12.49%,284,
34.420083,-119.878031,"G, F1, A1",CSS-01,2026-04-03,2026-04-05,15,30,15-30,sandy clay,SC,CSS-01 15-30,50.188,44.831,6.384,43.804,38.447,12.23%,255,
34.420083,-119.878031,"G, F1, A1",CSS-01,2026-04-03,2026-04-05,30,45,30-45,sandy clay,SC,CSS-01 30-45,43.927,39.275,6.407,37.52,32.868,12.40%,169.2,
34.420083,-119.878031,"G, F1, A1",CSS-01,2026-04-03,2026-04-05,45,60,45-60,sandy clay,SC,CSS-01 45-60,49.393,41.935,6.43,42.963,35.505,17.36%,392,
34.420083,-119.878031,"G, F1, A1",CSS-01,2026-04-03,2026-04-05,60,75,60-75,clay,C,CSS-01 60-75,46.898,39.986,6.398,40.5,33.588,17.07%,321,
34.420197,-119.87949,C1,CSS-02,2026-04-15,2026-04-18,0,15,0-15,loam,L,CSS-02 0-15,40.999,36.59,6.436,34.563,30.154,12.76%,264,
34.420197,-119.87949,C1,CSS-02,2026-04-15,2026-04-18,15,30,15-30,sandy loam,SL,CSS-02 15-30,47.636,44.54,6.393,41.243,38.147,7.51%,511,
34.420197,-119.87949,C1,CSS-02,2026-04-15,2026-04-18,30,45,30-45,clay loam,CL,CSS-02 30-45,45.477,40.121,6.403,39.074,33.718,13.71%,604,
34.420197,-119.87949,C1,CSS-02,2026-04-15,2026-04-18,45,60,45-60,clay loam,CL,CSS-02 45-60,46.848,40.333,6.431,40.417,33.902,16.12%,744,
34.420197,-119.87949,C1,CSS-02,2026-04-15,2026-04-18,60,75,60-75,clay loam,CL,CSS-02 60-75,47.734,41.781,6.39,41.344,35.391,14.40%,803,
