sample_date,site_number,site_name,burn_treatment,depth_top,depth_bottom,Depth,Soil Type (tenative),Tin Name ,Wet Weight (g),Dry Weight (g),Tin Weight (g),Dry-Tin wt (g),% soil moisture,eC_(uS/cm),notes
2025-10-20,1,East Slope,burned,0,15,0-15,Sandy Clay Loam,"N2, 0-15",106.408,99.733,6.536,93.197,7.16,376,
2025-10-20,1,East Slope,burned,15,30,15-30,Loam,"C3, 15-30",106.741,101.45,6.5,94.95,5.57,386,
2025-10-20,1,East Slope,burned,30,45,30-45,Loamy Sand,"N4, 30-45",117.234,110.793,6.54,104.253,6.18,562,
2025-10-20,1,East Slope,burned,45,60,45-60,Silty Clay,"N8, 45-60",116.452,105.048,6.501,98.547,11.57,200,outlier conductivity value
2025-10-20,1,East Slope,burned,60,75,60-75,Clay Loam,"N2, 60-75, G",76.308,66.337,6.471,59.866,16.66,1987,
2025-10-20,1,East Slope,burned,75,90,75-90,Silty Clay,"N4, 75-90, G",79.157,65.679,6.476,59.203,22.77,1807,
2025-10-20,2,Stipa East Slope,unburned,0,15,0-15,Sandy Clay,"C4, 0-15",80.646,73.222,6.394,66.828,11.11,283,
2025-10-20,2,Stipa East Slope,unburned,15,30,15-30,Sandy Clay Loam,"N6, 15-30, J",100.428,92.624,6.553,86.071,9.07,467,
2025-10-20,2,Stipa East Slope,unburned,30,45,30-45,Sandy Loam,"C4, 30-45",98.183,91.82,6.398,85.422,7.45,523,
2025-10-20,2,Stipa East Slope,unburned,45,60,45-60,Loam ,"C3, 45-60",108.712,101.178,6.403,94.775,7.95,742,
2025-10-20,2,Stipa East Slope,unburned,60,75,60-75,Sandy Clay Loam,"C4, 60-75",70.065,62.873,6.487,56.386,12.75,1707,
2025-10-20,2,Stipa East Slope,unburned,75,90,75-90,Clay,"C2, 75-90",77.333,68.835,6.465,62.37,13.63,2000,
2025-10-20,3,Stipa Mesa,burned,0,15,0-15,Silt Loam,"N4, 0-15",100.85,85.511,6.454,79.057,19.40,163.5,
2025-10-20,3,Stipa Mesa,burned,15,30,15-30,Silt Clay Loam,"N4, 15-30, U",67.45,61.575,6.413,55.162,10.65,609,
2025-10-20,3,Stipa Mesa,burned,30,45,30-45,Silt Clay Loam,"C3, 30-45",96.645,87.709,6.429,81.28,10.99,976,
2025-10-20,3,Stipa Mesa,burned,45,60,45-60,Clay Loam,"C4, 45-60",79.376,71.287,6.432,64.855,12.47,1462,
2025-10-20,3,Stipa Mesa,burned,60,75,60-75,Silty Clay,"NP8, 60-75, Q",60.003,50.929,6.426,44.503,20.39,2290,
2025-10-20,3,Stipa Mesa,burned,75,90,75-90,Clay Loam,"NP8, 75-90, 16",64.483,55.447,6.492,48.955,18.46,2560,
2025-10-20,4,Stipa Mesa,unburned,0,15,0-15,Clay Loam,"C2, 0-15",76.989,68.772,6.408,62.364,13.18,196.7,
2025-10-20,4,Stipa Mesa,unburned,15,30,15-30,Sandy Clay Loam,"C2, 15-30",74.257,66.854,6.482,60.372,12.26,158.3,outlier conductivity value
2025-10-20,4,Stipa Mesa,unburned,30,45,30-45,Sandy Loam,"C1, 30-45, I",90.006,84.055,6.518,77.537,7.68,180.9,
2025-10-20,4,Stipa Mesa,unburned,45,60,45-60,Silty Clay Loam,"N6, 45-60",96.057,88.75,6.49,82.26,8.88,272,
2025-10-20,4,Stipa Mesa,unburned,60,75,60-75,Sandy Clay ,"C2, 60-75",78.337,72.467,6.478,65.989,8.90,459,
2025-10-20,4,Stipa Mesa,unburned,75,90,75-90,Silty Clay,"NP6, 75-90 ",83.659,72.628,6.515,66.113,16.69,1121,
