sample_date,sample_id,tin_weight_g,wet_weight_g,dry_weight_2d,dry_weight_4d,eC_uS_cm,pH,Soil moisture
2/28/25,M_1_6,4.131,84.673,69.885,69.855,NA,NA,22.54579758
2/28/25,M_1_18,3.735,92.086,74.572,74.476,NA,NA,24.89362604
2/28/25,M_1_24,3.586,98.636,83.25,83.205,NA,NA,19.38105226
2/28/25,M_1_30,4.154,147.807,123.281,123.211,NA,NA,20.65901207
2/28/25,M_2_6,3.787,87.844,72.847,72.79,NA,NA,21.81644276
2/28/25,M_2_18,3.997,67.625,55.525,55.484,NA,NA,23.58070969
2/28/25,M_2_24,3.717,95.394,77.338,77.273,NA,NA,24.63565175
2/28/25,M_2_>24,3.719,76.49,64.133,64.106,NA,NA,20.50772517
2/28/25,S_1_6,3.728,70.11,61.247,61.21,NA,NA,15.48310776
2/28/25,S_1_18,3.881,72.989,64.834,64.799,NA,NA,13.44430218
2/28/25,S_1_24,3.888,62.985,57.209,57.196,NA,NA,10.85953328
2/28/25,S_2_6,3.873,83.419,72.137,72.084,NA,NA,16.61755435
2/28/25,S_2_18,4.048,85.42,80.057,80.044,NA,NA,7.074056529
2/28/25,S_2_24,3.691,87.41,81.407,81.384,NA,NA,7.76
4/7/25,M_1_6,4.149,117.915,NA,99.919,NA,NA,18.79
4/7/25,M_1_18,3.715,104.643,NA,92.881,NA,NA,13.19
4/7/25,M_2_6,3.762,109.69,NA,91.184,NA,NA,21.17
4/7/25,M_2_18,3.98,175.086,NA,142.93,NA,NA,23.14
4/7/25,M_3_6,4.118,164.995,NA,133.953,NA,NA,23.91
4/7/25,M_3_18,4.023,155.258,NA,120.714,NA,NA,29.6
4/7/25,M_4_6,3.565,139.768,NA,116.259,NA,NA,20.86
4/7/25,M_4_18,3.686,155.039,NA,130.023,NA,NA,19.8
4/7/25,M_5_6,3.85,108.013,NA,92.492,NA,NA,17.51
4/7/25,M_5_18,3.848,154.22,NA,126.644,NA,NA,22.46
4/7/25,M_6_6,3.86,154.406,NA,131.155,NA,NA,18.27
4/7/25,M_6_18,3.864,174.006,NA,141.867,NA,NA,23.29
4/23/25,M_1_6,4.145,113.643,NA,98.198,NA,NA,16.42
4/23/25,M_1_18,3.76,106.61,NA,90.905,NA,NA,18.02
4/23/25,M_2_6,3.817,133.302,NA,118.012,NA,NA,13.39
4/23/25,M_2_18,4.052,97.12,NA,82.35,NA,NA,18.86
4/23/25,M_3_6,4.132,117.386,NA,97.751,NA,NA,20.97
4/23/25,M_3_18,4.032,138.854,NA,111.957,NA,NA,24.92
4/23/25,M_4_6,3.577,153.163,NA,122.268,NA,NA,26.03
4/23/25,M_4_18,3.694,163.058,NA,134.963,NA,NA,21.4
4/23/25,M_5_6,3.844,115.855,NA,96.909,NA,NA,20.36
4/23/25,M_5_18,3.844,96.876,NA,78.974,NA,NA,23.83
4/23/25,M_6_6,3.864,93.039,NA,84.279,NA,NA,10.89
4/23/25,M_6_18,3.861,125.036,NA,103.501,NA,NA,21.61
5/7/25,M_1_6,4.149,104.357,NA,92.456,NA,NA,13.48
5/7/25,M_1_18,3.723,145.288,NA,127.592,NA,NA,14.29
5/7/25,M_2_6,3.797,126.514,NA,115.412,NA,NA,9.95
5/7/25,M_2_18,3.985,184.706,NA,164.716,NA,NA,12.44
5/7/25,M_3_6,4.154,123.541,NA,104.172,NA,NA,19.37
5/7/25,M_3_18,4.068,91.497,NA,70.556,NA,NA,31.5
5/7/25,M_4_6,3.637,109.583,NA,93.458,NA,NA,17.95
5/7/25,M_4_18,3.742,134.868,NA,117.696,NA,NA,15.07
5/7/25,M_5_6,3.877,152.661,NA,134.301,NA,NA,14.08
5/7/25,M_5_18,3.861,157.278,NA,128.836,NA,NA,22.76
5/7/25,M_6_6,3.884,125.185,NA,107.883,NA,NA,16.64
5/7/25,M_6_18,3.861,120.479,NA,98.015,NA,NA,23.86
6/1/25,M_1_6,4.143,53.51,NA,48.226,270,8.6,11.99
6/1/25,M_1_18,3.722,98.836,NA,88.151,550,7.8,12.66
6/1/25,M_2_6,3.792,102.884,NA,92.177,250,8.1,12.11
6/1/25,M_2_18,3.997,80.003,NA,71.996,370,8.1,11.78
6/1/25,M_3_6,4.153,99.414,NA,76.338,260,7.3,31.97
6/1/25,M_3_18,4.086,150.177,NA,109.557,720,7.2,38.51
6/1/25,M_4_6,3.625,114.05,NA,96.674,350,7.8,18.67
6/1/25,M_4_18,3.723,152.051,NA,130.976,220,8.1,16.56
6/1/25,M_5_6,3.857,109.98,NA,95.85,290,8.8,15.36
6/1/25,M_5_18,3.847,102.786,NA,88.652,480,8.6,16.67
6/1/25,M_6_6,3.869,103.282,NA,92.639,300,8.7,11.99
6/1/25,M_6_18,3.859,136.18,NA,114.725,440,8.4,19.35
6/1/25,M_7_6,4.002,93.534,NA,81.09,530,8.3,16.14
6/1/25,M_7_18,3.974,106.451,NA,92.859,490,8.6,15.29
6/1/25,M_8_6,4.026,102.221,NA,89.281,460,8.3,15.18
6/1/25,M_8_18,3.991,104.511,NA,89.135,500,8.1,18.06
7/17/25,M_1_6,4.143,64.882,NA,59.786,550,,9.16
7/17/25,M_1_18,3.725,63.219,NA,56.903,1175,,11.88
7/17/25,M_2_6,3.782,61.353,NA,56.993,330,,8.19
7/17/25,M_2_18,3.988,64.629,NA,59.48,480,,9.28
7/17/25,M_3_6,4.139,76.11,NA,67.392,250,,13.78
7/17/25,M_3_18,4.053,99.101,NA,84.965,800,,17.47
7/17/25,M_4_6,3.613,132.865,NA,109.917,420,,21.59
7/17/25,M_4_18,3.713,98.006,NA,82.241,700,,20.08
7/17/25,M_5_6,3.858,89.76,NA,81.244,250,,11
7/17/25,M_5_18,3.846,64.16,NA,57.25,500,,12.94
7/17/25,M_6_6,3.672,71.732,NA,65.902,270,,9.37
7/17/25,M_6_18,3.864,76.806,NA,67.197,350,,15.17
7/17/25,M_7_6,3.991,62.764,NA,58.475,850,,7.87
7/17/25,M_7_18,3.963,71.358,NA,65.865,1250,,8.87
7/17/25,M_8_6,4.032,60.573,NA,54.527,450,,11.97
7/17/25,M_8_18,3.968,128.764,NA,115.821,550,,11.57
8/14/25,M_1_6,4.154,61.611,NA,57.378,725,,7.95
8/14/25,M_1_18,3.738,99.42,NA,89.958,930,,10.97
8/14/25,M_2_6,3.802,68.539,NA,63.601,103,,8.26
8/14/25,M_2_18,4.002,82.201,NA,75.599,406,,9.22
8/14/25,M_3_6,4.144,64.644,NA,58.079,139.3,,12.17
8/14/25,M_3_18,4.042,67.596,NA,59.594,251,,14.4
8/14/25,M_4_6,3.607,89.356,NA,74.929,212,,20.23
8/14/25,M_4_18,3.708,99.167,NA,85.559,213,,16.63
8/14/25,M_5_6,3.857,46.83,NA,42.673,321,,10.71
8/14/25,M_5_18,3.848,51.65,NA,47.469,259,,9.58
8/14/25,M_6_6,3.873,51.078,NA,47.93,161.1,,7.15
8/14/25,M_6_18,3.863,55.299,NA,49.718,378,,12.17
8/14/25,M_7_6,3.998,54.528,NA,51.031,644,,7.44
8/14/25,M_7_18,3.964,61.919,NA,56.744,561,,9.8
8/14/25,M_8_6,4.036,63.733,NA,57.627,200,,11.39
8/14/25,M_8_18,3.968,74.05,NA,67.645,597,,10.06
9/4/25,M_1_6,4.145,78.041,NA,73.73,750,,6.2
9/4/25,M_1_18,3.711,114.305,NA,106.527,676,,7.56
9/4/25,M_2_6,3.775,128.535,NA,121.479,245,,5.99
9/4/25,M_2_18,3.982,167.643,NA,157.601,276,,6.54
9/4/25,M_3_6,4.195,87.341,NA,79.007,300,,11.14
9/4/25,M_3_18,4.081,79.932,NA,71.123,651,,13.14
9/4/25,M_4_6,3.6,106.678,NA,88.542,547,,21.35
9/4/25,M_4_18,3.711,68.732,NA,59.516,321,,16.51
9/4/25,M_5_6,3.926,49.822,NA,46.088,436,,8.86
9/4/25,M_5_18,3.904,70.381,NA,65.026,244,,8.76
9/4/25,M_6_6,3.946,41.302,NA,39.117,308,,6.21
9/4/25,M_6_18,3.885,50.725,NA,45.334,480,,13.01
9/4/25,M_7_6,4.058,38.902,NA,36.453,744,,7.56
9/4/25,M_7_18,4.052,71.41,NA,66.263,811,,8.27
9/4/25,M_8_6,4.055,39.347,NA,36.553,344,,8.6
9/4/25,M_8_18,4.006,75.153,NA,68.166,435,,10.89
