Date,new_id,measurement_number,Fm_value
2026-05-06,1,1,0.52
2026-05-06,1,2,0.27
2026-05-06,1,3,0.28
,2,1,0.52
,2,2,0.27
,2,3,0.28
,3,1,0.46
,3,2,0.36
,3,3,0.38
,4,1,0.42
,4,2,0.4
,4,3,0.34
,5,1,0.7
,5,2,0.64
,5,3,0.53
,6,1,0.36
,7,1,0.48
,8,1,0.4
,9,,
,10,1,0.45
,11,1,0.4
,12,1,0.33
,13,1,0.41
,14,1,0.37
,15,1,0.45
,16,1,0.37
,17,1,0.27
,18,1,0.53
,19,1,0.35
,20,,
,21,1,0.57
,21,2,0.2
,21,3,0.28
,22,1,0.21
,22,2,0.21
,22,3,0.17
,23,,
,24,1,0.5
,24,2,0.39
,24,3,0.33
,25,1,0.29
,25,2,0.32
,25,3,0.24
,26,1,0.63
,26,2,0.43
,26,3,0.42
,27,1,0.42
,27,2,0.34
,27,3,0.32
,28,,
,29,,
,30,,
,31,,
,32,,
,33,,
,34,,
,35,,
,36,1,0.2
,36,2,0.22
,36,3,0.22
,37,1,0.26
,37,2,0.24
,37,3,0.17
,38,1,0.5
,38,2,0.3
,38,3,0.28
,39,1,0.18
,39,2,0.26
,39,3,0.25
,40,1,0.43
,40,2,0.41
,40,3,0.49
,41,,
,42,,
,43,,
,44,,
,45,,
,46,,
,47,,
,48,,
,49,,
,50,,
,51,,
,52,,
,53,,
,54,,
,55,,
,56,,
,57,,
,58,,
,59,,
,60,,
,61,1,0.45
,62,2,0.58
,63,3,0.58
,62,1,0.43
,62,2,0.47
,62,3,0.44
,63,1,0.36
,63,2,0.31
,63,3,0.42
,64,1,0.35
,64,2,0.3
,64,3,0.3
,65,1,0.29
,65,2,0.3
,65,3,0.49
,66,,
,67,,
,68,,
,69,,
,70,,
,71,,
,72,,
,73,,
,74,,
,75,,
,76,,
,77,,
,78,,
,79,,
,80,,
