Date,new_id,salinity,water,surv,live_leaves,green_leaves,notes,
2026-06-03,1,0.8,wet,1,10,5,"tips are tanned, lots of thatch",surv taken by Elise 6/3/26
2026-06-03,2,0.8,wet,1,15,12,tips are yellowed and tanned ,
2026-06-03,3,0.8,wet,1,22,9,tan tips,
2026-06-03,4,0.8,wet,1,17,12,,
2026-06-03,5,0.8,wet,1,14,10,,
2026-06-03,6,0.8,wet,1,7,6,"very sparse, leaves are broken and short",
2026-06-03,7,0.8,wet,1,13,8,,
2026-06-03,8,0.8,wet,1,24,15,,
,9,0.8,wet,,,,,
2026-06-03,10,0.8,wet,1,14,9,very sparse,
2026-06-03,11,0.8,dry,1,,,,
2026-06-03,12,0.8,dry,1,,,,
2026-06-03,13,0.8,dry,1,,,,
2026-06-03,14,0.8,dry,1,,,,
2026-06-03,15,0.8,dry,1,,,,
2026-06-03,16,0.8,dry,1,,,,
2026-06-03,17,0.8,dry,1,10,2,tan tips,
2026-06-03,18,0.8,dry,1,24,14,tan tips,
2026-06-03,19,0.8,dry,1,14,5,tan tips,
,20,0.8,dry,,,,,
2026-06-03,21,4,wet,1,,,,
2026-06-03,22,4,wet,1,,,"more sparse, close to death; ""fewer leaves and growth in general upon visual observation. Additionally some of the little growth seen was mainly thatch upon my observation which led to me to believe these plants may be closer to death.'",
,23,4,wet,,,,,
2026-06-03,24,4,wet,1,9,4,"more sparse, close to death; ""fewer leaves and growth in general upon visual observation. Additionally some of the little growth seen was mainly thatch upon my observation which led to me to believe these plants may be closer to death.'",
2026-06-03,25,4,wet,1,15,10,lots of senesced leaves,
2026-06-03,26,4,wet,1,16,7,"lots of thatch, tips are tanned",
2026-06-03,27,4,wet,1,,,,
2026-06-03,28,4,wet,1,,,,
2026-06-03,29,4,wet,1,,,,
2026-06-03,30,4,wet,1,,,,
2026-06-03,31,4,dry,1,,,,
2026-06-03,32,4,dry,1,,,,
2026-06-03,33,4,dry,1,,,,
2026-06-03,34,4,dry,1,,,,
2026-06-03,35,4,dry,1,,,,
2026-06-03,36,4,dry,1,,,,
2026-06-03,37,4,dry,1,,,,
2026-06-03,38,4,dry,1,19,9,yellowing,
2026-06-03,39,4,dry,1,17,10,,
2026-06-03,40,4,dry,1,19,11,yellowing from tips to middle of leaves,
2026-06-03,41,7.5,wet,1,21,10,"lots of dead stems, tan tips",
2026-06-03,42,7.5,wet,1,21,12,lots of tall dead stems,
2026-06-03,43,7.5,wet,1,22,9,yellowed tips,
2026-06-03,44,7.5,wet,1,29,18,,
,45,7.5,wet,,,,,
2026-06-03,46,7.5,wet,1,,,,
2026-06-03,47,7.5,wet,1,,,,
2026-06-03,48,7.5,wet,1,,,,
2026-06-03,49,7.5,wet,1,,,,
2026-06-03,50,7.5,wet,1,,,,
2026-06-03,51,7.5,dry,1,,,,
2026-06-03,52,7.5,dry,1,,,,
2026-06-03,53,7.5,dry,1,,,,
2026-06-03,54,7.5,dry,1,,,,
2026-06-03,55,7.5,dry,1,,,,
2026-06-03,56,7.5,dry,1,,,,
2026-06-03,57,7.5,dry,1,,,,
2026-06-03,58,7.5,dry,1,19,10,"yellowing, lots of dead stems",
2026-06-03,59,7.5,dry,1,26,5,,
2026-06-03,60,7.5,dry,1,15,5,"lots of thatch, tips are tanned",
2026-06-03,61,11,wet,1,19,17,overall very minor tip browning/desiccation,
2026-06-03,62,11,wet,1,26,20,"some yellowing, overall minor tip browning",
2026-06-03,63,11,wet,1,18,15,,
2026-06-03,64,11,wet,1,,,,
2026-06-03,65,11,wet,1,,,,
2026-06-03,66,11,wet,1,,,,
2026-06-03,67,11,wet,1,,,,
2026-06-03,68,11,wet,1,,,,
2026-06-03,69,11,wet,1,,,,
2026-06-03,70,11,wet,1,,,,
2026-06-03,71,11,dry,1,,,,
2026-06-03,72,11,dry,1,,,,
2026-06-03,73,11,dry,1,,,,
,74,11,dry,,,,,
2026-06-03,75,11,dry,1,20,19,"lots of senesced leaves, overall minor tip browning",
2026-06-03,76,11,dry,1,24,15,,
2026-06-03,77,11,dry,1,34,26,,
2026-06-03,78,11,dry,1,8,3,lots of senesced leaves,
2026-06-03,79,11,dry,1,3,1,almost dead,
2026-06-03,80,11,dry,1,13,11,overall minor tip browning,
