Location,Sp_sample,Date,MPa,Time
MU,Bapi_1,11/07/2025,2.4,Mid Day
MU,Bapi_1,11/07/2025,2.65,Mid Day
MU,Bapi_1,11/07/2025,2.4,Mid Day
MU,Bapi_1,11/07/2025,2.55,Mid Day
MU,Bapi_1,11/07/2025,2.45,Mid Day
MU,Bapi_2,11/07/2025,2.65,Mid Day
MU,Bapi_2,11/07/2025,2.7,Mid Day
MU,Bapi_2,11/07/2025,2.65,Mid Day
MU,Bapi_2,11/07/2025,2.65,Mid Day
MU,Bapi_3,11/07/2025,2.75,Mid Day
MU,Bapi_3,11/07/2025,2.6,Mid Day
MU,Bapi_3,11/07/2025,2.8,Mid Day
MU,Arca_1,11/07/2025,1.8,Mid Day
MU,Arca_1,11/07/2025,0.8,Mid Day
MU,Arca_1,11/07/2025,0.6,Mid Day
MU,Arca_1,11/07/2025,1.8,Mid Day
MU,Arca_1,11/07/2025,1.7,Mid Day
MU,Arca_2,11/07/2025,1.8,Mid Day
MU,Arca_2,11/07/2025,1.85,Mid Day
MU,Arca_2,11/07/2025,1.65,Mid Day
MU,Arca_2,11/07/2025,1.7,Mid Day
MU,Arca_2,11/07/2025,1.65,Mid Day
ML,Bapi_1,11/07/2025,2.1,Mid Day
ML,Bapi_1,11/07/2025,1.95,Mid Day
ML,Bapi_1,11/07/2025,1.95,Mid Day
ML,Bapi_1,11/07/2025,1.9,Mid Day
ML,Bapi_1,11/07/2025,1.95,Mid Day
ML,Bapi_2,11/07/2025,2.3,Mid Day
ML,Bapi_2,11/07/2025,2.5,Mid Day
ML,Bapi_2,11/07/2025,2.47,Mid Day
ML,Bapi_2,11/07/2025,2.45,Mid Day
ML,Bapi_2,11/07/2025,2.5,Mid Day
ML,Bapi_3,11/07/2025,1.5,Mid Day
ML,Bapi_3,11/07/2025,2,Mid Day
ML,Bapi_3,11/07/2025,2.1,Mid Day
ML,Bapi_3,11/07/2025,2,Mid Day
ML,Bapi_3,11/07/2025,2.2,Mid Day
ML,Arca_1,11/07/2025,1.95,Mid Day
ML,Arca_1,11/07/2025,2.05,Mid Day
ML,Arca_1,11/07/2025,1.8,Mid Day
ML,Arca_1,11/07/2025,2,Mid Day
ML,Arca_1,11/07/2025,2.05,Mid Day
ML,Arca_2,11/07/2025,1.8,Mid Day
ML,Arca_2,11/07/2025,1.85,Mid Day
ML,Arca_2,11/07/2025,1.8,Mid Day
ML,Arca_2,11/07/2025,1.75,Mid Day
ML,Arca_2,11/07/2025,1.75,Mid Day
ML,Arca_3,11/07/2025,1.75,Mid Day
ML,Arca_3,11/07/2025,1.8,Mid Day
ML,Arca_3,11/07/2025,1.8,Mid Day
SP,Bapi_1,11/07/2025,1.6,Mid Day
SP,Bapi_1,11/07/2025,1.9,Mid Day
SP,Bapi_1,11/07/2025,1.75,Mid Day
SP,Bapi_1,11/07/2025,1.7,Mid Day
SP,Bapi_1,11/07/2025,1.87,Mid Day
SP,Bapi_2,11/07/2025,1.55,Mid Day
SP,Bapi_2,11/07/2025,1.6,Mid Day
SP,Bapi_2,11/07/2025,1.6,Mid Day
SP,Bapi_2,11/07/2025,1.7,Mid Day
SP,Bapi_2,11/07/2025,1.7,Mid Day
SP,Bapi_3,11/07/2025,1.95,Mid Day
SP,Bapi_3,11/07/2025,1.6,Mid Day
SP,Bapi_3,11/07/2025,1.75,Mid Day
SP,Bapi_3,11/07/2025,1.65,Mid Day
SP,Bapi_3,11/07/2025,1.78,Mid Day
SP,Arca_1,11/07/2025,1.6,Mid Day
SP,Arca_1,11/07/2025,1.55,Mid Day
SP,Arca_1,11/07/2025,1.4,Mid Day
SP,Arca_1,11/07/2025,1.4,Mid Day
SP,Arca_2,11/07/2025,1.75,Mid Day
SP,Arca_2,11/07/2025,1.75,Mid Day
SP,Arca_2,11/07/2025,1.82,Mid Day
SP,Arca_3,11/07/2025,1.87,Mid Day
SP,Arca_3,11/07/2025,1.68,Mid Day
SP,Arca_3,11/07/2025,1.91,Mid Day
SP,Arca_3,11/07/2025,1.66,Mid Day
SP,Arca_3,11/07/2025,1.8,Mid Day
