Water_potentials_2025-12-03 - Sheet1
Location,Sp_sample,Date,MPa,Time 
MU,Bapi_1,12/03/2025,1.5,Midday
MU,Bapi_1,12/03/2025,1.6,Midday
MU,Bapi_1,12/03/2025,1.75,Midday
MU,Bapi_1,12/03/2025,1.93,Midday
MU,Bapi_1,12/03/2025,1.85,Midday
MU,Bapi_2,12/03/2025,1.5,Midday
MU,Bapi_2,12/03/2025,1.45,Midday
MU,Bapi_2,12/03/2025,1.7,Midday
MU,Bapi_2,12/03/2025,1.65,Midday
MU,Bapi_2,12/03/2025,1.8,Midday
MU,Bapi_3,12/03/2025,1.85,Midday
MU,Bapi_3,12/03/2025,2.1,Midday
MU,Bapi_3,12/03/2025,2.15,Midday
MU,Bapi_3,12/03/2025,2.5,Midday
MU,Bapi_3,12/03/2025,2.35,Midday
MU,Arca_1,12/03/2025,1.2,Midday
MU,Arca_1,12/03/2025,1.5,Midday
MU,Arca_1,12/03/2025,1.27,Midday
MU,Arca_1,12/03/2025,1.54,Midday
MU,Arca_1,12/03/2025,1.52,Midday
MU,Arca_2,12/03/2025,1.8,Midday
MU,Arca_2,12/03/2025,1.8,Midday
MU,Arca_2,12/03/2025,1.8,Midday
MU,Arca_2,12/03/2025,1.9,Midday
MU,Arca_2,12/03/2025,1.85,Midday
MU,Arca_3,12/03/2025,1.9,Midday
MU,Arca_3,12/03/2025,2,Midday
MU,Arca_3,12/03/2025,1.9,Midday
MU,Arca_3,12/03/2025,1.8,Midday
ML,Bapi_1,12/03/2025,2,Midday
ML,Bapi_1,12/03/2025,1.5,Midday
ML,Bapi_1,12/03/2025,1.58,Midday
ML,Bapi_1,12/03/2025,1.39,Midday
ML,Bapi_1,12/03/2025,1.55,Midday
ML,Bapi_2,12/03/2025,1.86,Midday
ML,Bapi_2,12/03/2025,1.82,Midday
ML,Bapi_2,12/03/2025,1.88,Midday
ML,Bapi_2,12/03/2025,1.85,Midday
ML,Bapi_2,12/03/2025,1.8,Midday
ML,Bapi_3,12/03/2025,2.34,Midday
ML,Bapi_3,12/03/2025,2.28,Midday
ML,Bapi_3,12/03/2025,2.76,Midday
ML,Bapi_3,12/03/2025,2.51,Midday
ML,Bapi_3,12/03/2025,2.8,Midday
ML,Arca_1,12/03/2025,1.56,Midday
ML,Arca_1,12/03/2025,1.35,Midday
ML,Arca_2,12/03/2025,1.56,Midday
ML,Arca_2,12/03/2025,1.45,Midday
ML,Arca_2,12/03/2025,1.52,Midday
ML,Arca_2,12/03/2025,1.46,Midday
ML,Arca_2,12/03/2025,1.5,Midday
ML,Arca_3,12/03/2025,1.61,Midday
ML,Arca_3,12/03/2025,1.52,Midday
ML,Arca_3,12/03/2025,1.46,Midday
ML,Arca_3,12/03/2025,1.69,Midday
ML,Arca_3,12/03/2025,1.59,Midday
SP,Bapi_1,12/03/2025,1.65,Midday
SP,Bapi_1,12/03/2025,1.68,Midday
SP,Bapi_1,12/03/2025,1.72,Midday
SP,Bapi_1,12/03/2025,1.68,Midday
SP,Bapi_1,12/03/2025,1.74,Midday
SP,Bapi_2,12/03/2025,1.34,Midday
SP,Bapi_2,12/03/2025,1.32,Midday
SP,Bapi_2,12/03/2025,1.62,Midday
SP,Bapi_2,12/03/2025,1.42,Midday
SP,Bapi_2,12/03/2025,1.57,Midday
SP,Bapi_3,12/03/2025,1.02,Midday
SP,Bapi_3,12/03/2025,1.07,Midday
SP,Bapi_3,12/03/2025,1.42,Midday
SP,Bapi_3,12/03/2025,1.01,Midday
SP,Bapi_3,12/03/2025,1.03,Midday
SP,Arca_1,12/03/2025,1.02,Midday
SP,Arca_1,12/03/2025,1.05,Midday
SP,Arca_1,12/03/2025,1.12,Midday
SP,Arca_1,12/03/2025,1.04,Midday
SP,Arca_1,12/03/2025,1.25,Midday
SP,Arca_2,12/03/2025,1.23,Midday
SP,Arca_2,12/03/2025,1.27,Midday
SP,Arca_2,12/03/2025,1.25,Midday
SP,Arca_2,12/03/2025,1.19,Midday
SP,Arca_2,12/03/2025,1.35,Midday
SP,Arca_3,12/03/2025,1.1,Midday
SP,Arca_3,12/03/2025,1,Midday
SP,Arca_3,12/03/2025,0.95,Midday
SP,Arca_3,12/03/2025,1.02,Midday
