Location,species,wilted_status,plant_id,Date,MPa,Time,Notes
MU,Bapi,,1,2025-11-07,2.4,Midday,
MU,Bapi,,1,2025-11-07,2.65,Midday,
MU,Bapi,,1,2025-11-07,2.4,Midday,
MU,Bapi,,1,2025-11-07,2.55,Midday,
MU,Bapi,,1,2025-11-07,2.45,Midday,
MU,Bapi,,2,2025-11-07,2.65,Midday,
MU,Bapi,,2,2025-11-07,2.7,Midday,
MU,Bapi,,2,2025-11-07,2.65,Midday,
MU,Bapi,,2,2025-11-07,2.65,Midday,
MU,Bapi,,3,2025-11-07,2.75,Midday,
MU,Bapi,,3,2025-11-07,2.6,Midday,
MU,Bapi,,3,2025-11-07,2.8,Midday,
MU,Arca,,1,2025-11-07,1.8,Midday,
MU,Arca,,1,2025-11-07,0.8,Midday,
MU,Arca,,1,2025-11-07,0.6,Midday,
MU,Arca,,1,2025-11-07,1.8,Midday,
MU,Arca,,1,2025-11-07,1.7,Midday,
MU,Arca,,2,2025-11-07,1.8,Midday,
MU,Arca,,2,2025-11-07,1.85,Midday,
MU,Arca,,2,2025-11-07,1.65,Midday,
MU,Arca,,2,2025-11-07,1.7,Midday,
MU,Arca,,2,2025-11-07,1.65,Midday,
ML,Bapi,,1,2025-11-07,2.1,Midday,
ML,Bapi,,1,2025-11-07,1.95,Midday,
ML,Bapi,,1,2025-11-07,1.95,Midday,
ML,Bapi,,1,2025-11-07,1.9,Midday,
ML,Bapi,,1,2025-11-07,1.95,Midday,
ML,Bapi,,2,2025-11-07,2.3,Midday,
ML,Bapi,,2,2025-11-07,2.5,Midday,
ML,Bapi,,2,2025-11-07,2.47,Midday,
ML,Bapi,,2,2025-11-07,2.45,Midday,
ML,Bapi,,2,2025-11-07,2.5,Midday,
ML,Bapi,,3,2025-11-07,1.5,Midday,
ML,Bapi,,3,2025-11-07,2,Midday,
ML,Bapi,,3,2025-11-07,2.1,Midday,
ML,Bapi,,3,2025-11-07,2,Midday,
ML,Bapi,,3,2025-11-07,2.2,Midday,
ML,Arca,,1,2025-11-07,1.95,Midday,
ML,Arca,,1,2025-11-07,2.05,Midday,
ML,Arca,,1,2025-11-07,1.8,Midday,
ML,Arca,,1,2025-11-07,2,Midday,
ML,Arca,,1,2025-11-07,2.05,Midday,
ML,Arca,,2,2025-11-07,1.8,Midday,
ML,Arca,,2,2025-11-07,1.85,Midday,
ML,Arca,,2,2025-11-07,1.8,Midday,
ML,Arca,,2,2025-11-07,1.75,Midday,
ML,Arca,,2,2025-11-07,1.75,Midday,
ML,Arca,,3,2025-11-07,1.75,Midday,
ML,Arca,,3,2025-11-07,1.8,Midday,
ML,Arca,,3,2025-11-07,1.8,Midday,
SP,Bapi,,1,2025-11-07,1.6,Midday,
SP,Bapi,,1,2025-11-07,1.9,Midday,
SP,Bapi,,1,2025-11-07,1.75,Midday,
SP,Bapi,,1,2025-11-07,1.7,Midday,
SP,Bapi,,1,2025-11-07,1.87,Midday,
SP,Bapi,,2,2025-11-07,1.55,Midday,
SP,Bapi,,2,2025-11-07,1.6,Midday,
SP,Bapi,,2,2025-11-07,1.6,Midday,
SP,Bapi,,2,2025-11-07,1.7,Midday,
SP,Bapi,,2,2025-11-07,1.7,Midday,
